nombre,link-Imagen,link-Pagina
Storm Spirit,https://es.dotabuff.com/assets/heroes/storm-spirit.jpg,https://es.dotabuff.com/heroes/storm-spirit
Tinker,https://es.dotabuff.com/assets/heroes/tinker.jpg,https://es.dotabuff.com/heroes/tinker
Warlock,https://es.dotabuff.com/assets/heroes/warlock.jpg,https://es.dotabuff.com/heroes/warlock
Witch Doctor,https://es.dotabuff.com/assets/heroes/witch-doctor.jpg,https://es.dotabuff.com/heroes/witch-doctor
Zeus,https://es.dotabuff.com/assets/heroes/zeus.jpg,https://es.dotabuff.com/heroes/zeus
Abaddon,https://es.dotabuff.com/assets/heroes/abaddon.jpg,https://es.dotabuff.com/heroes/abaddon
Bane,https://es.dotabuff.com/assets/heroes/bane.jpg,https://es.dotabuff.com/heroes/bane
Batrider,https://es.dotabuff.com/assets/heroes/batrider.jpg,https://es.dotabuff.com/heroes/batrider
Beastmaster,https://es.dotabuff.com/assets/heroes/beastmaster.jpg,https://es.dotabuff.com/heroes/beastmaster
Brewmaster,https://es.dotabuff.com/assets/heroes/brewmaster.jpg,https://es.dotabuff.com/heroes/brewmaster
Broodmother,https://es.dotabuff.com/assets/heroes/broodmother.jpg,https://es.dotabuff.com/heroes/broodmother
Chen,https://es.dotabuff.com/assets/heroes/chen.jpg,https://es.dotabuff.com/heroes/chen
Clockwerk,https://es.dotabuff.com/assets/heroes/clockwerk.jpg,https://es.dotabuff.com/heroes/clockwerk
Dark Seer,https://es.dotabuff.com/assets/heroes/dark-seer.jpg,https://es.dotabuff.com/heroes/dark-seer
Dark Willow,https://es.dotabuff.com/assets/heroes/dark-willow.jpg,https://es.dotabuff.com/heroes/dark-willow
Dazzle,https://es.dotabuff.com/assets/heroes/dazzle.jpg,https://es.dotabuff.com/heroes/dazzle
Enigma,https://es.dotabuff.com/assets/heroes/enigma.jpg,https://es.dotabuff.com/heroes/enigma
Invoker,https://es.dotabuff.com/assets/heroes/invoker.jpg,https://es.dotabuff.com/heroes/invoker
Io,https://es.dotabuff.com/assets/heroes/io.jpg,https://es.dotabuff.com/heroes/io
Lone Druid,https://es.dotabuff.com/assets/heroes/lone-druid.jpg,https://es.dotabuff.com/heroes/lone-druid
Lycan,https://es.dotabuff.com/assets/heroes/lycan.jpg,https://es.dotabuff.com/heroes/lycan
Magnus,https://es.dotabuff.com/assets/heroes/magnus.jpg,https://es.dotabuff.com/heroes/magnus
Marci,https://es.dotabuff.com/assets/heroes/marci.jpg,https://es.dotabuff.com/heroes/marci
Mirana,https://es.dotabuff.com/assets/heroes/mirana.jpg,https://es.dotabuff.com/heroes/mirana
Nyx Assassin,https://es.dotabuff.com/assets/heroes/nyx-assassin.jpg,https://es.dotabuff.com/heroes/nyx-assassin
Pangolier,https://es.dotabuff.com/assets/heroes/pangolier.jpg,https://es.dotabuff.com/heroes/pangolier
Phoenix,https://es.dotabuff.com/assets/heroes/phoenix.jpg,https://es.dotabuff.com/heroes/phoenix
Sand King,https://es.dotabuff.com/assets/heroes/sand-king.jpg,https://es.dotabuff.com/heroes/sand-king
Snapfire,https://es.dotabuff.com/assets/heroes/snapfire.jpg,https://es.dotabuff.com/heroes/snapfire
Techies,https://es.dotabuff.com/assets/heroes/techies.jpg,https://es.dotabuff.com/heroes/techies
Vengeful Spirit,https://es.dotabuff.com/assets/heroes/vengeful-spirit.jpg,https://es.dotabuff.com/heroes/vengeful-spirit
Venomancer,https://es.dotabuff.com/assets/heroes/venomancer.jpg,https://es.dotabuff.com/heroes/venomancer
Visage,https://es.dotabuff.com/assets/heroes/visage.jpg,https://es.dotabuff.com/heroes/visage
Void Spirit,https://es.dotabuff.com/assets/heroes/void-spirit.jpg,https://es.dotabuff.com/heroes/void-spirit
Windranger,https://es.dotabuff.com/assets/heroes/windranger.jpg,https://es.dotabuff.com/heroes/windranger
Winter Wyvern,https://es.dotabuff.com/assets/heroes/winter-wyvern.jpg,https://es.dotabuff.com/heroes/winter-wyvern
